DateTime,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,KING_
2021-11-18,3531.4923,3537.9758,3513.1136,3520.7106,31242692700.0,0
2021-11-19,3519.2758,3561.9127,3517.6514,3560.3734,31798997600.0,1
2021-11-22,3562.7628,3585.1876,3562.7505,3582.0797,33000938500.0,0
2021-11-23,3580.5058,3598.3749,3577.3608,3589.0894,36001159300.0,0
2021-11-24,3590.0189,3602.7354,3575.2884,3592.7025,33677524600.0,0
2021-11-25,3593.3883,3597.1478,3579.5333,3584.1788,30645151800.0,-1
2021-11-26,3576.1136,3576.1136,3554.8798,3564.0894,30100006600.0,-1
2021-11-29,3528.672,3563.677,3526.3551,3562.6968,33361833100.0,-1
2021-11-30,3570.7468,3582.115,3546.3618,3563.8872,34918793800.0,0
2021-12-01,3561.886,3576.8853,3558.691,3576.8853,32987351700.0,0
2021-12-02,3573.2468,3586.867,3567.137,3573.8358,35404152400.0,0
2021-12-03,3576.4496,3608.4698,3573.2135,3607.4322,37755104800.0,-1
2021-12-06,3615.2356,3626.1257,3586.8052,3589.3061,41867674300.0,-1
2021-12-07,3611.217,3614.2228,3572.5688,3595.0882,40384259400.0,-1
2021-12-08,3602.824,3637.715,3591.9857,3637.5675,36103665700.0,-1
2021-12-09,3641.1579,3688.3968,3638.7022,3673.0412,43191815700.0,-1
2021-12-10,3654.3684,3667.8547,3651.3525,3666.3479,41998880100.0,-1
2021-12-13,3686.9368,3708.9424,3678.0583,3681.082,42409200900.0,-1
2021-12-14,3669.8067,3671.6784,3654.6561,3661.5253,36217193400.0,-1
2021-12-15,3655.0489,3668.4016,3645.2425,3647.6303,37747766700.0,-1
2021-12-16,3648.9271,3675.016,3644.6646,3675.016,38132950700.0,-1
2021-12-17,3670.2578,3673.6535,3631.6605,3632.3638,40848783700.0,0
2021-12-20,3620.0371,3643.9537,3589.3603,3593.6019,42385141000.0,0
2021-12-21,3591.4519,3627.0884,3591.4519,3625.1251,40818434800.0,0
2021-12-22,3632.6763,3635.8992,3616.5477,3622.6178,39482517700.0,0
2021-12-23,3625.4695,3643.5459,3618.048,3643.3391,38292573400.0,0
2021-12-24,3645.3948,3648.9556,3612.0673,3618.0535,39034762500.0,1
2021-12-27,3613.0469,3632.188,3601.9351,3615.9741,32923529300.0,0
2021-12-28,3619.6419,3631.0766,3607.3643,3630.1115,31620224200.0,0
2021-12-29,3630.9159,3630.9159,3596.3225,3597.0002,30513176600.0,0
2021-12-30,3596.4921,3628.9177,3595.4957,3619.1886,30783929100.0,1
2021-12-31,3626.242,3642.843,3624.9419,3639.7754,32968193200.0,0
