DateTime,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,CCI_
2015-04-21,4212.185,4294.375,4188.569,4293.623,63447062700.0,0
2015-04-22,4304.597,4400.193,4297.951,4398.494,68030508600.0,0
2015-04-23,4414.485,4444.41,4358.844,4414.508,66734466100.0,0
2015-04-24,4355.951,4416.376,4318.119,4393.686,62855499600.0,0
2015-04-27,4441.929,4529.735,4441.929,4527.396,67108852100.0,0
2015-04-28,4527.635,4572.391,4432.904,4476.215,76767641600.0,0
2015-04-29,4446.119,4499.945,4398.639,4476.62,51983420200.0,0
2015-04-30,4483.013,4507.344,4441.054,4441.655,52672797500.0,0
2015-05-04,4441.343,4487.57,4387.426,4480.464,49417339800.0,0
2015-05-05,4479.848,4488.865,4282.237,4298.706,57285859600.0,0
2015-05-06,4311.641,4376.353,4187.368,4229.266,48173299300.0,0
2015-05-07,4197.896,4213.764,4108.009,4112.214,39456665300.0,0
2015-05-08,4152.984,4206.86,4099.042,4205.917,39742809400.0,0
2015-05-11,4231.271,4334.877,4187.82,4333.584,48875051500.0,0
2015-05-12,4342.37,4402.309,4317.975,4401.219,52186640800.0,1
2015-05-13,4402.378,4415.629,4342.481,4375.76,51049047500.0,0
2015-05-14,4372.816,4397.745,4329.042,4378.311,44907793500.0,0
2015-05-15,4366.822,4366.822,4278.553,4308.691,43970619800.0,0
2015-05-18,4277.895,4324.826,4260.509,4283.491,38005745200.0,0
2015-05-19,4285.777,4418.403,4285.777,4417.552,43673522400.0,0
2015-05-20,4434.979,4520.538,4432.279,4446.288,51410622300.0,0
2015-05-21,4456.435,4530.478,4438.258,4529.422,46499652000.0,0
2015-05-22,4584.984,4658.273,4562.989,4657.596,65559128700.0,0
2015-05-25,4660.075,4814.672,4656.825,4813.798,68246139100.0,0
2015-05-26,4854.85,4911.685,4779.075,4910.897,70489282900.0,0
2015-05-27,4932.846,4958.156,4857.056,4941.714,68116537900.0,0
2015-05-28,4943.742,4986.503,4614.241,4620.266,78296459200.0,0
2015-05-29,4603.465,4698.193,4431.563,4611.744,61126240900.0,0
2015-06-01,4633.098,4829.502,4615.231,4828.738,59338903500.0,0
2015-06-02,4844.704,4911.574,4797.552,4910.527,62374809900.0,0
2015-06-03,4924.381,4942.065,4822.442,4909.978,61145383900.0,0
2015-06-04,4912.945,4947.965,4647.407,4947.102,67495240200.0,0
2015-06-05,5016.088,5051.626,4898.068,5023.096,77224081200.0,0
2015-06-08,5045.694,5146.949,4997.481,5131.881,85503508500.0,0
2015-06-09,5145.978,5147.454,5042.963,5113.534,72989381800.0,0
2015-06-10,5049.1965,5164.1622,5001.4894,5106.0359,59696900100.0,0
2015-06-11,5101.4398,5122.4566,5050.7646,5121.5925,56399052200.0,0
2015-06-12,5143.3431,5178.191,5103.4007,5166.35,62562785400.0,0
2015-06-15,5174.4182,5176.7945,5048.7419,5062.9929,63780398400.0,0
2015-06-16,5004.4118,5029.6836,4842.0999,4887.432,55080140700.0,0
2015-06-17,4890.5511,4983.658,4767.216,4967.8983,53710116800.0,0
2015-06-18,4942.5198,4966.7668,4780.8731,4785.356,50744089900.0,0
2015-06-19,4689.9286,4744.0812,4476.5008,4478.3643,45268962600.0,0
2015-06-23,4471.613,4577.9394,4264.7724,4576.4922,47352612800.0,0
2015-06-24,4604.5792,4691.7676,4552.1285,4690.1497,54300370900.0,0
2015-06-25,4711.7632,4720.7005,4483.5477,4527.7789,57279753300.0,0
2015-06-26,4399.933,4456.8958,4139.5304,4192.8734,56521787400.0,0
2015-06-29,4289.7713,4297.4747,3875.0499,4053.0304,67378634900.0,0
2015-06-30,4006.7537,4279.969,3847.8799,4277.2219,70917663300.0,0
2015-07-01,4214.1499,4317.0527,4043.3667,4053.6997,59876942700.0,1
2015-07-02,4058.6241,4080.3873,3795.2532,3912.7668,58601561200.0,0
2015-07-03,3793.7121,3927.1275,3629.5556,3686.9153,54816311100.0,0
2015-07-06,3975.2142,3975.2142,3653.0371,3775.9122,83113928600.0,0
2015-07-07,3654.7775,3750.5696,3585.3989,3727.1248,69881868800.0,0
2015-07-08,3467.3986,3599.2532,3421.5252,3507.1923,68035692200.0,0
2015-07-09,3432.4536,3748.4785,3373.5396,3709.3304,65691461200.0,0
2015-07-10,3707.4577,3959.2196,3677.4345,3877.8034,58636425500.0,0
2015-07-13,3918.9895,4030.1947,3858.6368,3970.3878,64348900700.0,0
2015-07-14,3958.3729,4035.4345,3855.56,3924.4871,67055879900.0,0
2015-07-15,3874.9681,3914.2732,3741.2503,3805.7033,60130132400.0,0
2015-07-16,3758.5045,3877.5141,3688.4415,3823.1755,49225620000.0,0
2015-07-17,3831.4205,3994.4767,3814.1467,3957.3516,48172626800.0,0
2015-07-20,3948.4208,4021.3255,3927.1214,3992.1096,53910671400.0,0
2015-07-21,3939.8978,4041.8194,3912.8013,4017.6748,50428802800.0,0
2015-07-22,3996.4268,4042.3381,3960.8636,4026.045,52073222500.0,0
2015-07-23,4022.2677,4132.6119,4019.0382,4123.9234,56358596600.0,0
2015-07-24,4124.7549,4184.4487,4044.8311,4070.908,62742486000.0,0
2015-07-27,3985.5702,4051.1588,3720.4441,3725.5582,55600324700.0,0
2015-07-28,3573.1428,3762.5256,3537.3576,3663.0024,56333004200.0,0
2015-07-29,3689.8249,3792.0722,3612.0641,3789.168,43435208500.0,0
2015-07-30,3773.7884,3844.374,3685.9555,3705.7656,45794322800.0,0
2015-07-31,3655.6668,3729.5123,3620.1653,3663.7256,35095574500.0,0
2015-08-03,3614.99,3648.943,3549.4962,3622.9051,36396873100.0,0
2015-08-04,3621.8549,3757.0292,3601.2892,3756.5449,36290166600.0,1
2015-08-05,3745.6459,3782.3522,3676.39,3694.5733,36642297900.0,0
2015-08-06,3625.5035,3710.5699,3614.7419,3661.5392,27407466300.0,0
2015-08-07,3692.6143,3756.7398,3686.2996,3744.2045,34075718400.0,0
2015-08-10,3786.0326,3943.6236,3775.8535,3928.4154,49730431900.0,0
2015-08-11,3928.8075,3970.3367,3891.179,3927.9083,53892346000.0,0
2015-08-12,3881.2275,3937.7723,3871.1358,3886.3198,44268827800.0,0
2015-08-13,3869.9108,3955.7894,3838.159,3954.5561,43007330300.0,0
2015-08-14,3976.4054,4000.6843,3939.835,3965.3349,46798821700.0,0
2015-08-17,3947.8444,3994.5371,3907.3991,3993.6677,46043206000.0,0
2015-08-18,3999.1336,4006.3372,3743.3939,3748.1639,54377082200.0,0
2015-08-19,3646.8032,3811.427,3558.3827,3794.1094,47539623900.0,0
2015-08-20,3754.5667,3788.0054,3663.6067,3664.2907,39006305700.0,0
2015-08-21,3609.9587,3652.8368,3490.5401,3507.744,36992047900.0,0
