"DateTime","OPEN","HIGH","LOW","CLOSE","VOLUME"
2006-07-04,1700.323,1702.658,1670.13,1681.547,5431649200
2006-07-05,1755.222,1757.472,1703.585,1718.555,6072080600
2006-07-06,1715.279,1742.204,1711.651,1741.47,5006266900
2006-07-07,1746.521,1750.028,1724.675,1730.19,4943012700
2006-07-10,1730.698,1737.031,1715.828,1734.329,3904952600
2006-07-11,1736.986,1746.724,1725.231,1745.806,4008545000
2006-07-12,1745.878,1753.275,1737.999,1740,4878589100
2006-07-13,1736.207,1737.595,1654.486,1655.773,6747158900
2006-07-14,1641.138,1676.754,1633.898,1665.208,4158780400
2006-07-17,1662.047,1684.344,1653.603,1682.887,3220393300
2006-07-18,1682.36,1684.672,1666.311,1684.252,3140535400
2006-07-19,1681.771,1681.771,1637.486,1645.16,3505983000
2006-07-20,1642.624,1658.054,1636.259,1655.122,2866119700
2006-07-21,1653.811,1669.288,1653.507,1665.328,2996048900
2006-07-24,1648.749,1667.617,1632.687,1665.944,3118400800
2006-07-25,1668.138,1690.613,1668.138,1685.461,3423780100
2006-07-26,1688.538,1691.429,1675.662,1686.654,3116723100
2006-07-27,1685.347,1701.611,1665.386,1675.168,3620183100
2006-07-28,1674.43,1678.527,1646.346,1662.031,3326896800
2006-07-31,1659.535,1659.535,1611.163,1612.733,3365448600
2006-08-01,1619.635,1625.044,1596.658,1600.614,3231066000
2006-08-02,1598.758,1608.777,1577.902,1600.872,2786576300
2006-08-03,1599.746,1609.425,1587.119,1601.058,2082229300
2006-08-04,1601.608,1612.1,1567.251,1570.15,2586705400
2006-08-07,1561.801,1570.054,1541.413,1547.436,2409920600
2006-08-08,1547.905,1581.753,1547.905,1580.577,2338299800
2006-08-09,1581.803,1585.173,1571.709,1578.566,2163603600
2006-08-10,1578.354,1606.943,1577.86,1606.065,2632313600
2006-08-11,1605.597,1610.763,1596.217,1605.926,2345146700
2006-08-14,1605.202,1611.661,1566.722,1570.738,2565505000
2006-08-15,1568.267,1596.653,1564.398,1595.657,2025921400
2006-08-16,1596.056,1616.453,1591.857,1616.41,2856399800
2006-08-17,1612.412,1612.412,1592.846,1603.332,2339190400
2006-08-18,1601.567,1614.365,1596.562,1598.018,2397424800
2006-08-21,1565.457,1602.13,1558.1,1601.15,2337431800
2006-08-22,1601.523,1619.074,1598.776,1613.355,2670121100
2006-08-23,1614.393,1621.399,1608.741,1612.396,2721290700
2006-08-24,1612.699,1623.169,1601.887,1623.017,2506129700
2006-08-25,1622.481,1630.047,1619.735,1623.034,2782161400
2006-08-28,1627.123,1651.289,1624.281,1650.438,3934124300
2006-08-29,1652.672,1667.53,1649.593,1651.024,4805041100
2006-08-30,1648.348,1656.232,1640.281,1655.195,3144285800
2006-08-31,1655.903,1661.473,1649.997,1658.638,3513501600
2006-09-01,1658.66,1660.518,1634.026,1636.691,3595457500
2006-09-04,1635.332,1657.691,1635.122,1657.52,3309342600
2006-09-05,1659.737,1669.901,1657.047,1664.078,4053349300
2006-09-06,1665.13,1672.26,1656.863,1672.121,3357962300
2006-09-07,1683.782,1683.89,1655.408,1661.19,3152275400
2006-09-08,1659.702,1671.308,1658.673,1667.984,2655202800
2006-09-11,1668.161,1675.094,1653.01,1674.966,3059052900
2006-09-12,1675.198,1699.585,1673.441,1695.862,3739045300
2006-09-13,1695.351,1713.989,1687.049,1689.389,4304569100
2006-09-14,1689.631,1696.622,1672.884,1689.692,3388825800
2006-09-15,1689.605,1722.66,1689.51,1721.045,4703230700
2006-09-18,1727.915,1733.413,1719.16,1732.987,4484006200
2006-09-19,1735.301,1743.021,1728.289,1735.241,4345533000
2006-09-20,1733.637,1737.734,1720.835,1732.453,3883657100
2006-09-21,1731.585,1743.63,1731.222,1740.901,3953314600
2006-09-22,1744.605,1746.615,1724.104,1725.361,4477782800
2006-09-25,1722.744,1732.279,1709.771,1722.366,4016809300
2006-09-26,1720.781,1721.584,1704.774,1712.637,3313453000
2006-09-27,1711.514,1725.501,1709.766,1725.039,2924715800
2006-09-28,1725.515,1740.787,1722.219,1736.963,3397985800
2006-09-29,1740.059,1755.691,1740.059,1752.424,4123628500
2006-10-09,1768.144,1786.11,1763.111,1785.385,5293514300
2006-10-10,1784.22,1793.141,1771.856,1784.862,5513649300
2006-10-11,1784.518,1792.761,1771.016,1790.104,4928388200
2006-10-12,1790.631,1792.239,1774.142,1778.181,5316904600
2006-10-13,1776.511,1792.868,1773.233,1784.656,4253984200
2006-10-16,1787.7,1789.175,1766.308,1771.299,4676616000
2006-10-17,1768.628,1777.598,1758.311,1763.901,3926234400
2006-10-18,1762.404,1787.743,1760.883,1787.185,3681056300
2006-10-19,1788.582,1799.294,1784.345,1792.253,4149060700
2006-10-20,1792.6,1801.334,1786.344,1790.364,4146159900
2006-10-23,1789.645,1797.427,1753.494,1759.394,4444108500
2006-10-24,1756.457,1805.273,1756.457,1805.181,3991120600
2006-10-25,1807.03,1825.609,1789.905,1806.646,4451225900
2006-10-26,1804.893,1816.762,1791.947,1810.646,4873708200
2006-10-27,1836.214,1842.73,1803.215,1807.175,7374892300
2006-10-30,1804.367,1815.612,1788.287,1809.656,4533594400
2006-10-31,1811.469,1839.318,1811.469,1837.993,4655713500
2006-11-01,1838.68,1855.887,1833.201,1855.713,4778352600
2006-11-02,1856.921,1857.145,1834.844,1851.314,5174172500
2006-11-03,1851.404,1873.664,1850.151,1866.362,4986072000
2006-11-06,1853.186,1886.519,1846.011,1886.307,4954451700
